name,nature,termStart,termEnd,state,constituency,party,gender,education,educationDetails,age,debates,bills,questions,attendance,notes
Shivaramagouda Shivanagouda,Elected,18-May-09,In office,Karnataka,Koppal,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Karnataka College, Dhawar and Karnataka University Law College, Dhawar",58,32,0,134,77, (All data updated till 22 May 2012)
Shivraj Singh Lodhi,Elected,18-May-09,In office,Madhya Pradesh,Damoh,Bharatiya Janata Party,Male,Matric,"Educated at Govt. Higher Secondary School, Distt. Sagar, Madhya Pradesh",68,11,0,65,86, (All data updated till 22 May 2012)
Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,Elected,18-May-09,In office,Maharashtra,Satara,Nationalist Congress Party,Male,Post Graduate,"Production Engg., Educated at Bharati Vidyapeeth",46,1,0,37,51, (All data updated till 22 May 2012)
Shripad Yesso Naik,Elected,18-May-09,In office,Goa,North Goa,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",59,28,0,100,81, (All data updated till 22 May 2012)
Shriprakash Jaiswal,Elected,18-May-09,In office,Uttar Pradesh,Kanpur,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at D.A.V. College, Kanpur, Uttar Pradesh",67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Shruti Choudhry,Elected,18-May-09,In office,Haryana,Bhiwani-Mahendragarh,Indian National Congress,Female,Graduate,"B.A., LL.B.; Educated at Univeristy of Delhi and B.R. Ambedkar University, Agra",36,9,0,369,79, (All data updated till 22 May 2012)
Sidhant Mohapatra,Elected,18-May-09,In office,Orissa,Berhampur,Biju Janata Dal,Male,Post Graduate,M.B.A.; Educated at Institute of Marketing and Management,46,2,0,4,63, (All data updated till 22 May 2012)
Sisir Kumar Adhikari,Elected,18-May-09,In office,West Bengal,Kanthi,All India Trinamool Congress,Male,Inter/ Higher Secondary,I.Sc.,70,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Sivakumar @ J.K. Ritheesh. K,Elected,18-May-09,In office,Tamil Nadu,Ramanthapuram,Dravida Munnetra Kazhagam,Male,Graduate,"B.E. (Civil), D.C.E.,; Educated at Alagappa Engneering College, Karaikudi, Tamil Nadu",39,15,0,98,39, (All data updated till 22 May 2012)
Sk. Nurul Islam,Elected,18-May-09,In office,West Bengal,Basirhat,All India Trinamool Congress,Male,Matric,ALIM; Educated at Khorki Sr. Madrasa,48,1,0,4,45, (All data updated till 22 May 2012)
Sk. Saidul Haque,Elected,18-May-09,In office,West Bengal,Bardhaman-Durgapur,Communist Party of India (Marxist),Male,Post Graduate,"M.A. (English), B.Ed.; Educated at Burdwan Raj College, Burdwan University",57,69,0,178,97, (All data updated till 22 May 2012)
Sohan Potai,Elected,18-May-09,In office,Chhattisgarh,Kanker,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Sociology); Educated at Pandit Ravi Shankar University, Raipur (Chhattisgarh) ",54,8,0,1,69, (All data updated till 22 May 2012)
Solanki Dinubhai Boghabhal,Elected,18-May-09,In office,Gujarat,Junagadh,Bharatiya Janata Party,Male,Graduate,B.A.,55,0,0,0,17,Complete attendance for this MP is not available (All data updated till 22 May 2012)
