name,nature,termStart,termEnd,state,constituency,party,gender,education,educationDetails,age,debates,bills,questions,attendance,notes
A. Ganeshamurthi,Elected,18-May-09,In office,Tamil Nadu,Erode,Marumalarchi Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.",64,22,0,231,76, (All data updated till 22 May 2012)
A.K.S. Vijayan,Elected,18-May-09,In office,Tamil Nadu,Nagapattinam,Dravida Munnetra Kazhagam,Male,Graduate,"B.A.; Educated at Madras University, Chennai, Tamil Nadu",50,16,0,136,53, (All data updated till 22 May 2012)
A.T. Nana Patil,Elected,18-May-09,In office,Maharashtra,Jalgaon,Bharatiya Janata Party,Male,Graduate,M.Com (2nd Year Appearing),50,46,6,416,84, (All data updated till 22 May 2012)
Abdul Mannan Hossain,Elected,18-May-09,In office,West Bengal,Murshidabad,Indian National Congress,Male,Graduate,B.A.; Educated at R.K.N.College,59,0,0,0,60, (All data updated till 22 May 2012)
Abdul Rahman,Elected,18-May-09,In office,Tamil Nadu,Vellore,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. (Economics), Diploma in Computer Programming; Educated at Jamal Mohamed College, Tiruchhrappalli, Tamil Nadu, Institute of Business Applications, Chennai.",53,20,0,323,66, (All data updated till 22 May 2012)
Abu Hasem Khan Choudhury,Elected,18-May-09,In office,West Bengal,Maldaha Dakshin,Indian National Congress,Male,Graduate,,74,3,0,6,77, (All data updated till 22 May 2012)
Adagooru H Vishwanath,Elected,18-May-09,In office,Karnataka,Mysore,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at Mysore University and Sharada Vilasa La College, Mysore, Karnataka",62,2,0,176,66, (All data updated till 22 May 2012)
Adhi Sankar,Elected,18-May-09,In office,Tamil Nadu,Kallakurichi,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L.; Educated at University of Madras (Tamil Nadu) ",55,8,0,74,51, (All data updated till 22 May 2012)
Adhir Ranjan Chowdhury,Elected,18-May-09,In office,West Bengal,Baharampur,Indian National Congress,Male,Under Matric,"Educated at I.C. Institute, Berhampore, West Bengal",56,83,17,280,83, (All data updated till 22 May 2012)
Agatha K. Sangma,Elected,18-May-09,In office,Meghalaya,Tura,Nationalist Congress Party,Female,Post Graduate,M.A. (Environmental Management); Diploma in Cyber Laws; Diploma in Corporate Laws; Diploma in Human Rights Laws; Diploma in Securities & Investment Laws,31,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Ajay Kumar,Elected,01-Aug-11,In office,Jharkhand,Jamshedpur,Jharkhand Vikas Morcha (Prajatantrik),Male,Professional Graduate,"MBBS, IPS",52,15,0,38,76, (All data updated till 22 May 2012)
Ajay Maken,Elected,18-May-09,In office,Delhi,New Delhi,Indian National Congress,Male,Graduate,B.A.; Educated at University of Delhi,48,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Ajit Singh,Elected,18-May-09,In office,Uttar Pradesh,Baghpat,Rashtriya Lok Dal,Male,Post Graduate,"B.Sc., B. Tech. and M.S.; Educated at Lucknow University, Lucknow; I.I.T. Kharagpur and Illinois Institute of Technology, Chicago (U.S.A.) ",73,2,0,0,44,"This MP was appointed a minister on 18 December, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 16th December, 2011. (All data updated till 22 May 2012)"
Akhilesh Yadav,Elected,18-May-09,In office,Uttar Pradesh,Kannauj,Samajwadi Party,Male,Post Graduate,"B.E., M.E.; Educated at University of Mysore, Mysore, Karnataka",38,4,0,0,53, (All data updated till 22 May 2012)
Amarnath Pradhan,Elected,18-May-09,In office,Orissa,Sambalpur,Indian National Congress,Male,Graduate,"B.A., Utkal University, Bhubaneswar, Orissa",54,16,0,108,85, (All data updated till 22 May 2012)
Ambica Banerjee,Elected,18-May-09,In office,West Bengal,Howrah,All India Trinamool Congress,Male,Graduate,"Mechanical Engineer (Sales); Educated at Hatfield Technical College, London",83,3,0,124,64,Complete attendance for this MP is not available (All data updated till 22 May 2012)
Anand Prakash Paranjpe,Elected,18-May-09,In office,Maharashtra,Kalyan,Shiv Sena,Male,Post Graduate,"B.E., M.B.A.; Educated at Pune University, Maharashtra",39,10,0,479,63, (All data updated till 22 May 2012)
Anandrao Adsul,Elected,18-May-09,In office,Maharashtra,Amravati,Shiv Sena,Male,Graduate,"B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra",64,29,3,806,75, (All data updated till 22 May 2012)
Anant Gangaram Geete,Elected,18-May-09,In office,Maharashtra,Raigad,Shiv Sena,Male,Matric,"Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra) ",60,38,0,7,68, (All data updated till 22 May 2012)
Anant Kumar Hegde,Elected,18-May-09,In office,Karnataka,Uttara Kannada,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",44,13,2,401,80, (All data updated till 22 May 2012)
Ananth Kumar,Elected,18-May-09,In office,Karnataka,Bangalore South,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka) ",52,14,0,139,86, (All data updated till 22 May 2012)
Anantha Venkatarami Reddy,Elected,18-May-09,In office,Andhra Pradesh,Anantapur,Indian National Congress,Male,Post Graduate,"M.A., B.L.; Educated at Sri Venkateswara University and Sri Krishnadevaraya University, Anantapur, Andhra Pradesh",55,12,0,450,77, (All data updated till 22 May 2012)
Andimuthu Raja,Elected,18-May-09,In office,Tamil Nadu,Nilgiris,Dravida Munnetra Kazhagam,Male,Post Graduate,"B.Sc., B.L., M.L.; Educated at Government Arts College, Musiri, Distt. Trichy; Government Law College, Madurai and Government Law College, Trichy (Tamil Nadu) ",49,0,0,0,4,"This MP was a Minister. He tendered his resignation on 14th November, 2010. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 15th November (All data updated till 22 May 2012)"
Anirudhan Sampath,Elected,18-May-09,In office,Kerala,Attingal,Communist Party of India (Marxist),Male,Post Graduate,M.A. (Eco) L.L.M (Constt. Law),49,67,0,250,80, (All data updated till 22 May 2012)
Annu Tandon,Elected,18-May-09,In office,Uttar Pradesh,Unnao,Indian National Congress,Female,Graduate,"B.Sc. (Chemistry, Zoology and Botany); Dayanand Subhash National Post Graduate College, Unnao (Uttar Pradesh) ",54,26,0,128,94, (All data updated till 22 May 2012)
Anto Antony,Elected,18-May-09,In office,Kerala,Pathanamthitta,Indian National Congress,Male,Graduate,"B.A.; Educated at St. Thomas College, Palai",55,59,0,368,89, (All data updated till 22 May 2012)
Anup Kumar Saha,Elected,18-May-09,In office,West Bengal,Bardhaman Purba,Communist Party of India (Marxist),Male,Doctorate,"M.B.B.S., M.S. (Surgery), Ph.D. (Pursuing); Educated at Burdwan Medical College, and University College of Medicine, Calcutta, West Bengal",56,17,0,54,90, (All data updated till 22 May 2012)
Anurag Singh Thakur,Elected,18-May-09,In office,Himachal Pradesh,Hamirpur,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Doaba College, Jalandhar, Punjab",37,46,0,403,84, (All data updated till 22 May 2012)
Arjun Charan Sethi,Elected,18-May-09,In office,Orissa,Bhadrak,Biju Janata Dal,Male,Post Graduate,"M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa",70,46,0,182,90, (All data updated till 22 May 2012)
Arjun Munda,Elected,18-May-09,26-02-2011,Jharkhand,Jamshedpur,Bharatiya Janata Party,Male,Graduate,"Graduate, Diploma in Social Science; Educated at IGNOU",44,3,0,152,43,Complete attendance for this MP is not available (All data updated till 22 May 2012)
Arjun Ram Meghwal,Elected,18-May-09,In office,Rajasthan,Bikaner,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",58,308,16,438,99, (All data updated till 22 May 2012)
Arjun Roy,Elected,18-May-09,In office,Bihar,Sitamarhi,Janata Dal (United),Male,Doctorate,"Ph.D; Educated at University of Bihar, Bihar",40,23,0,232,91, (All data updated till 22 May 2012)
Arun Subhashchandra Yadav,Elected,18-May-09,In office,Madhya Pradesh,Khandwa,Indian National Congress,Male,Graduate,"B.Com.; Schooling at Daly College, Indore, Madhya Pradesh, S.S. Subdh Jain Commerce College, Jaipur, Rajasthan",38,1,0,20,79,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (All data updated till 22 May 2012)"
Aruna Kumar Vundavalli,Elected,18-May-09,In office,Andhra Pradesh,Rajahmundry,Indian National Congress,Male,Graduate,"B.Com, B.L.; Educated at Govt. College Rajamundry and C.R. Reddy Law College, Eluru",57,15,0,28,100, (All data updated till 22 May 2012)
Arvind Kumar Chaudhary,Elected,18-May-09,In office,Uttar Pradesh,Basti,Bahujan Samaj Party,Male,Inter/ Higher Secondary,,47,3,0,36,95, (All data updated till 22 May 2012)
Arvind Kumar Sharma,Elected,18-May-09,In office,Haryana,Karnal,Indian National Congress,Male,Post Graduate,"B.D.S., M.D.S.; Eduated at Gujarat University, Ahmedabad, M.D. University, Rohtak",48,13,0,61,75, (All data updated till 22 May 2012)
Asaduddin Owaisi,Elected,18-May-09,In office,Andhra Pradesh,Hyderabad,All India Majlis-E-Ittehadul Muslimmen,Male,Graduate,"LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",43,28,1,766,70, (All data updated till 22 May 2012)
Ashok Argal,Elected,18-May-09,In office,Madhya Pradesh,Bhind,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at Morena Board of Secondary Education, Madhya Pradesh",43,46,0,146,91, (All data updated till 22 May 2012)
Ashok Kumar Rawat,Elected,18-May-09,In office,Uttar Pradesh,Misrikh,Bahujan Samaj Party,Male,Post Graduate,"M.A.; Educated at Lucknow University, Lucknow, Uttar Pradesh",36,21,0,564,84, (All data updated till 22 May 2012)
Ashok Tanwar,Elected,18-May-09,In office,Haryana,Sirsa,Indian National Congress,Male,Post Graduate,"M.A., M.Phil (History); Educated at Jawahar Lal Nehru University, New Delhi",36,2,0,96,83, (All data updated till 22 May 2012)
Ashwamedh Devi,Elected,18-May-09,In office,Bihar,Ujiarpur,Janata Dal (United),Female,Under Matric,"Educated at Govt. Middle School, Bajitpur Meyari, Sarai Ranjan, Samastipur, Bihar",44,7,0,62,88, (All data updated till 22 May 2012)
Asrarul Haque Mohammad,Elected,18-May-09,In office,Bihar,Kishanganj,Indian National Congress,Male,Post Graduate,"Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh",70,15,0,45,94, (All data updated till 22 May 2012)
Avtar Singh Bhadana,Elected,18-May-09,In office,Haryana,Faridabad,Indian National Congress,Male,Under Matric,,54,8,0,133,52, (All data updated till 22 May 2012)
Awale Jaywant Gangaram,Elected,18-May-09,In office,Maharashtra,Latur,Indian National Congress,Male,Inter/ Higher Secondary,,71,41,0,245,91, (All data updated till 22 May 2012)
Babu Lal Marandi,Elected,18-May-09,In office,Jharkhand,Kodarma,Jharkhand Vikas Morcha (Prajatantrik),Male,Graduate,"Educated at Ranchi University, Ranchi, Jharkhand",54,2,0,0,30, (All data updated till 22 May 2012)
Badri Ram Jakhar,Elected,18-May-09,In office,Rajasthan,Pali,Indian National Congress,Male,Under Matric,,59,15,0,308,90, (All data updated till 22 May 2012)
Badruddin Ajmal,Elected,18-May-09,In office,Assam,Dhubri,Assam United Democratic Front,Male,Post Graduate,"Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",62,21,0,196,54, (All data updated till 22 May 2012)
Baidyanath Prasad Mahto,Elected,18-May-09,In office,Bihar,Valmiki Nagar,Janata Dal (United),Male,Matric,"Educated at H.S. Bathanaha, West Champaran (Bihar) ",64,18,0,214,91, (All data updated till 22 May 2012)
Baijayant Jay Panda,Elected,18-May-09,In office,Orissa,Kendrapara,Biju Janata Dal,Male,Graduate,"Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",48,11,8,657,61, (All data updated till 22 May 2012)
Baju Ban Riyan,Elected,18-May-09,In office,Tripura,Tripura East,Communist Party of India (Marxist),Male,Graduate,"B.Sc.; Educated at Maharaja Bira Bikram College, Agartala, Tripura",71,6,0,0,84, (All data updated till 22 May 2012)
Bal Kumar Patel,Elected,18-May-09,In office,Uttar Pradesh,Mirzapur,Samajwadi Party,Male,Inter/ Higher Secondary,"Educated at Bhauri Intermediate College, Distt. Chitrakoot, Uttar Pradesh",48,8,0,194,84, (All data updated till 22 May 2012)
Baliram,Elected,18-May-09,In office,Uttar Pradesh,Lalganj,Bahujan Samaj Party,Male,Doctorate,"M.A., M.Ed., Ph.D.; Educated at Banaras Hindu University (BHU), Varanasi, Uttar Pradesh",57,36,0,243,93, (All data updated till 22 May 2012)
Baliram Kashyap,Elected,18-May-09,09-03-2011,Chhattisgarh,Bastar,Bharatiya Janata Party,Male,Under Matric,,76,0,0,0,1,Complete attendance for this MP is not available (All data updated till 22 May 2012)
Balkrishna Khanderao Shukla,Elected,18-May-09,In office,Gujarat,Vadodara,Bharatiya Janata Party,Male,Post Graduate,"B.Sc., MBA (HRM); Educated at M.S. University of Baroda, Vadodara (Gujarat) ",48,19,1,169,72, (All data updated till 22 May 2012)
Bansagopal Chowdhury,Elected,18-May-09,In office,West Bengal,Asansol,Communist Party of India (Marxist),Male,Graduate,"Educated at T.D.B. College, Raniganj, West Bengal",52,24,0,17,69, (All data updated till 22 May 2012)
Bapiraju Kanumuri,Elected,18-May-09,In office,Andhra Pradesh,Narsapuram,Indian National Congress,Male,Inter/ Higher Secondary,Educated at Hyderabad Public School,64,7,0,0,91, (All data updated till 22 May 2012)
Basori Singh Masram,Elected,18-May-09,In office,Madhya Pradesh,Mandla,Indian National Congress,Male,Under Matric,"Educated at Higher Secondary School, Bichhiya and Middle School, Tatri, Distt. Mandla, Madhya Pradesh",66,1,0,10,84, (All data updated till 22 May 2012)
Basudeb Acharia,Elected,18-May-09,In office,West Bengal,Bankura,Communist Party of India (Marxist),Male,Post Graduate,"M.A., B.T.; Educated at Ranchi University, Ranchi, Bihar and Calcutta University, Calcutta, West Bengal",69,112,6,152,90, (All data updated till 22 May 2012)
Beni Prasad Verma,Elected,18-May-09,In office,Uttar Pradesh,Gonda,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Lucknow University, Lucknow, Uttar Pradesh",71,2,0,0,99,"This MP was appointed a minister in January, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th December, 2010. (All data updated till 22 May 2012)"
Bhajan Lal,Elected,18-May-09,In office,Haryana,Hisar,Haryana Janhit Congress,Male,Inter/ Higher Secondary,"Educated at Government College, Bahawal Nagar (Now in Pakistan) ",81,0,0,0,39, (All data updated till 22 May 2012)
Bhakta Charan Das,Elected,18-May-09,In office,Orissa,Kalahandi,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Government College, Bhawanipatna, Kalahandi, Orissa and L. R. Law College, Sambalpur (Orissa) ",53,38,1,163,89, (All data updated till 22 May 2012)
Bharat Ram Meghwal,Elected,18-May-09,In office,Rajasthan,Ganganagar,Indian National Congress,Male,Graduate,"B.A., B.Ed.; Educated at Rajasthan University, Jaipur and Kota",56,13,0,137,91, (All data updated till 22 May 2012)
Bharatsinh Madhavsinh Solanki,Elected,18-May-09,In office,Gujarat,Anand,Indian National Congress,Male,Graduate,B.E. (Civil); Educated at Birla Vishwakarma Mahavidyalay,58,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Bhartruhari Mahtab,Elected,18-May-09,In office,Orissa,Cuttack,Biju Janata Dal,Male,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa) ",54,178,0,211,93, (All data updated till 22 May 2012)
Bhavana Pundlikrao Gawali Patil,Elected,18-May-09,In office,Maharashtra,Yavatmal-Washim,Shiv Sena,Female,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",40,15,0,231,67, (All data updated till 22 May 2012)
"Bhismashankar, Alias Kushal Tiwari",Elected,18-May-09,In office,Uttar Pradesh,Sant Kabir Nagar,Bahujan Samaj Party,Male,Inter/ Higher Secondary,,51,33,0,318,79, (All data updated till 22 May 2012)
Bhola Singh,Elected,18-May-09,In office,Bihar,Nawada,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Patna University and Lalit Narayan Mithila University, Darbhanga, Bihar",77,83,3,247,94, (All data updated till 22 May 2012)
Bhoopendra Singh,Elected,18-May-09,In office,Madhya Pradesh,Sagar,Bharatiya Janata Party,Male,Graduate,L.L.B.; Educated at Sagar University (Madhya Pradesh) ,52,20,0,405,76, (All data updated till 22 May 2012)
Bhudeo Choudhary,Elected,18-May-09,In office,Bihar,Jamui,Janata Dal (United),Male,Graduate,"B.A., LL.B.; Educated at T.N.V. Law College, Bhagalpur",52,23,0,263,86, (All data updated till 22 May 2012)
Bibhu Prasad Tarai,Elected,18-May-09,In office,Orissa,Jagatsinghpur,Communist Party of India,Male,Post Graduate,"M.A., LL.B.; Madhusudan Law College, Cuttack and Utkal University, Bhubaneshwar, Orissa",47,14,0,153,83, (All data updated till 22 May 2012)
Bijoy Krishna Handique,Elected,18-May-09,In office,Assam,Jorhat,Indian National Congress,Male,Post Graduate,"M.A.; Educated at Calcutta University, Calcutta (West Bengal) ",77,0,0,1,91,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (All data updated till 22 May 2012)"
Bijoya Chakravarty,Elected,18-May-09,In office,Assam,Gauhati,Bharatiya Janata Party,Female,Post Graduate,"M.A. (English); Educated at Guwahati University, Guwahati, Assam and Banaras Hindu University, Varanasi (Uttar Pradesh) ",72,28,4,38,86, (All data updated till 22 May 2012)
Biren Singh Engti,Elected,18-May-09,In office,Assam,Autonomous District,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Guwahati University, Assam",67,1,0,0,95, (All data updated till 22 May 2012)
Bishnu Pada Ray,Elected,18-May-09,In office,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bharatiya Janata Party,Male,Graduate,"B.Com. (Hons.); Educated at Andamohan College, Calcutta, West Bengal",61,67,0,156,78, (All data updated till 22 May 2012)
Brij Bhushan Sharan Singh,Elected,18-May-09,In office,Uttar Pradesh,Kaiserganj,Samajwadi Party,Male,Post Graduate,"M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",55,19,0,138,88, (All data updated till 22 May 2012)
C. L. Ruala,Elected,18-May-09,In office,Mizoram,Mizoram,Indian National Congress,Male,Post Graduate,"B.A., B.T.; Educated at St. Edmund`s college Shillong, Gauhati University",76,2,0,10,97, (All data updated till 22 May 2012)
C. M. Chang,Elected,18-May-09,In office,Nagaland,Nagaland,Nagaland People's Front,Male,Graduate,"B.A; Educated at High School, Mokochung, Nagaland and St. Edmund`s College Shillong, Guwahati University",69,1,0,25,92, (All data updated till 22 May 2012)
C. P. Joshi,Elected,18-May-09,In office,Rajasthan,Bhilwara,Indian National Congress,Male,Doctorate,"M.Sc. (Physics.), M.A. (Psychology), L.LB. Ph.D.; Educated at M.B. College, Udaipur, Rajasthan",61,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
C. R. Patil,Elected,18-May-09,In office,Gujarat,Navsari,Bharatiya Janata Party,Male,Certificate Course,"I.T.I; Educated at Industrial Training Institute, Surat",57,14,2,276,84, (All data updated till 22 May 2012)
C. Rajendran,Elected,18-May-09,In office,Tamil Nadu,Chennai South,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A., B.L.; Educated at Madras Law College",51,28,0,220,70, (All data updated till 22 May 2012)
C. Sivasami,Elected,18-May-09,In office,Tamil Nadu,Tiruppur,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.A.; Madurai Kamraj University (Tamil Nadu) ,54,46,0,409,68, (All data updated till 22 May 2012)
Chandra Sekhar Kalva Kuntla Rao,Elected,18-May-09,In office,Andhra Pradesh,Mahabubnagar,Telangana Rashtra Samithi,Male,Post Graduate,"M.A. (Litt); Educated at Osmania University, Hyderabad, Andhra Pradesh",58,2,0,0,10,Complete attendance for this MP is not available (All data updated till 22 May 2012)
Chandrakant Bhaurao Khaire,Elected,18-May-09,In office,Maharashtra,Aurangabad,Shiv Sena,Male,Graduate,"B.Sc. (1st Year), Diploma in Personnel Management; Educated at Marathawada University, Aurangabad, Maharashtra",60,31,1,492,69, (All data updated till 22 May 2012)
Chandresh Kumari Katoch,Elected,18-May-09,In office,Rajasthan,Jodhpur,Indian National Congress,Female,Under Graduate,"Educated at Nazrath Convent School, St. Mary`s School, Puna, St. Hildas School, Ooty Educated at St. Hildas-Ooty",68,4,0,39,78, (All data updated till 22 May 2012)
Chandu Lal Sahu,Elected,18-May-09,In office,Chhattisgarh,Mahasamund,Bharatiya Janata Party,Male,Graduate,"B.Com., LL.B.; Educated at Rajiv Lochan College, Rajim and; Durga College, Raipur",52,11,0,49,82, (All data updated till 22 May 2012)
Charan Das Mahant,Elected,18-May-09,In office,Chhattisgarh,Korba,Indian National Congress,Male,Doctorate,"M.Sc., M.A., LL.B., Ph.D.; Educated at Motilal Vigyan Mahavidhyalay, Bhopal University and Barkatulla University, Bhopal (Madhya Pradesh) ",57,15,0,132,93,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (All data updated till 22 May 2012)"
Charles Dias,Nominated,18-Sep-09,In office,,,Indian National Congress,Male,Doctorate,"M.A., Ph.D, Diploma in Office Management, Diploma in Personnel Management and Diploma in Labour Law; Educated at University of Calicut and Annamalai University",61,49,0,51,99, (All data updated till 22 May 2012)
Chaudhary Lal Singh,Elected,18-May-09,In office,Jammu and Kashmir,Udhampur,Indian National Congress,Male,Graduate,"B.A.; Educated at Government Degree College, Kathua,; Jammu and Kashmir",53,71,0,201,87, (All data updated till 22 May 2012)
Chinta Mohan,Elected,18-May-09,In office,Andhra Pradesh,Tirupati,Indian National Congress,Male,Graduate,"M.B.B.S; Educated at Srivenkateswara Medical College, Tirupati (Andhra Pradesh) ",57,3,0,18,79, (All data updated till 22 May 2012)
Choudhury Mohan Jatua,Elected,18-May-09,In office,West Bengal,Mathurapur,All India Trinamool Congress,Male,Post Graduate,M.Com.; Educated at Kolkata University,73,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
D. Napoleon,Elected,18-May-09,In office,Tamil Nadu,Perambalur,Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (History); Educated at St. Joseph's College, Trichy",48,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
D.B. Chandre Gowda,Elected,18-May-09,In office,Karnataka,Bangalore North,Bharatiya Janata Party,Male,Post Graduate,"B.Sc, LL.B., Educated at Mudigere High School, Intermediate College Chikmagalur, Renukacharya College, Bangalore and R. L. Law College, Belgaum",75,7,0,434,63, (All data updated till 22 May 2012)
D.V. Sadananda Gowda,Elected,18-May-09,29-12-2011,Karnataka,Udupi Chikmagalur,Bharatiya Janata Party,Male,Graduate,"B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",59,17,0,72,42, (All data updated till 22 May 2012)
Daggubati Purandeswari,Elected,18-May-09,In office,Andhra Pradesh,Visakhapatnam,Indian National Congress,Female,Graduate,B.A. (Literature) and Graduate in Gemology; Educated at South Indian Educational Trust and; Women College (Chennai) and Gemological Institute of India,53,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Danapal Venugopal,Elected,18-May-09,In office,Tamil Nadu,Tiruvannamalai,Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,"Educated at Danish Mission High School, Tiruvannamalai, Tamil Nadu",80,24,0,5,67, (All data updated till 22 May 2012)
Dara Singh Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Ghosi,Bahujan Samaj Party,Male,Graduate,,48,95,0,80,92, (All data updated till 22 May 2012)
Darshana Vikram Jardosh,Elected,18-May-09,In office,Gujarat,Surat,Bharatiya Janata Party,Female,Graduate,"B.Com.; Educated at K.P. College of Commerce, Surat, Certificate Course in Computer from NIIT",51,41,0,188,89, (All data updated till 22 May 2012)
Datta Raghobaji Meghe,Elected,18-May-09,In office,Maharashtra,Wardha,Indian National Congress,Male,Graduate,"B.A.; Educated at Nagpur University, Nagpur (Maharashtra) ",75,46,0,199,88, (All data updated till 22 May 2012)
Davidson J. Helen,Elected,18-May-09,In office,Tamil Nadu,Kanniyakumari,Dravida Munnetra Kazhagam,Female,Post Graduate,"M.Sc. (Math), B.Ed; Manomanian Sundaranar University and Annamalai University",40,25,0,92,78, (All data updated till 22 May 2012)
Dayanidhi Maran,Elected,18-May-09,In office,Tamil Nadu,Chennai Central,Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Economics); Educated at Loyola College, Chennai (Tamil Nadu) ",45,0,0,0,71,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (All data updated till 22 May 2012)"
Deepa Dashmunsi,Elected,18-May-09,In office,West Bengal,Raiganj,Indian National Congress,Female,Post Graduate,"M.A. (Dramatics); Educated at Rabindra Bharati University, West Bengal",50,9,0,324,78, (All data updated till 22 May 2012)
Deepender Singh Hooda,Elected,18-May-09,In office,Haryana,Rohtak,Indian National Congress,Male,Post Graduate,"B.Tech., M.B.A.; Educated at University at Birla Institute, M.D. University, Rohtak (Haryana) and Kelley School of Business, Indiana University, Bloomington, USA",34,15,1,74,79, (All data updated till 22 May 2012)
Deoraj Singh Patel,Elected,18-May-09,In office,Madhya Pradesh,Rewa,Bahujan Samaj Party,Male,Post Graduate,"M.A., LL.B.; Educated at Avadesh Pratap Singh University, Rewa, Madhya Pradesh",43,6,0,77,87, (All data updated till 22 May 2012)
Devendra Nagpal,Elected,18-May-09,In office,Uttar Pradesh,Amroha,Rashtriya Lok Dal,Male,Graduate,"Educated at KGK College, Moradabad, Uttar Pradesh",41,9,0,32,53, (All data updated till 22 May 2012)
Devidhan Besra,Elected,18-May-09,In office,Jharkhand,Rajmahal,Bharatiya Janata Party,Male,Matric,"Educated at Paligram Vidya Mandir, Birbhum",72,2,0,0,68, (All data updated till 22 May 2012)
Devji Patel,Elected,18-May-09,In office,Rajasthan,Jalore,Bharatiya Janata Party,Male,Matric,,35,64,0,257,78, (All data updated till 22 May 2012)
Dhananjay Singh,Elected,18-May-09,In office,Uttar Pradesh,Jaunpur,Bahujan Samaj Party,Male,Post Graduate,M.A.(Political Science),36,32,0,145,65, (All data updated till 22 May 2012)
