name,nature,termStart,termEnd,state,constituency,party,gender,education,educationDetails,age,debates,bills,questions,attendance,notes
Shriram Pal,Elected,19-Jun-09,04-07-2010,Uttar Pradesh,,Bahujan Samaj Party,Male,Information not available,,Information not available,2,0,0,51, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Shyam Benegal,Nominated,16-Feb-06,15-02-2012,,,Independent,Male,Post Graduate,"M.A. (Economics) Educated at Nizam College, Osmania University, Hyderabad ",77,3,0,4,74, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Shyamal Chakraborty,Elected,03-Apr-08,In office,West Bengal,,Communist Party of India (Marxist),Male,Graduate,"B. A. Educated at University of Calcutta, Kolkata ",68,17,0,187,75, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Sitaram Yechury,Elected,19-Aug-11,In office,West Bengal,,Communist Party of India (Marxist),Male,Post Graduate,"B.A. (Hons.) in Economics, M.A. (Economics) Educated at President's Estate School, New Delhi, St. Stephen's College, New Delhi and Jawaharlal Nehru University, New Delhi ",59,52,0,43,89, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Smriti Zubin Irani,Elected,18-Aug-11,In office,Gujarat,,Bharatiya Janata Party,Female,Graduate,"Educated at Holy Child Auxilium, Delhi and School of Correspondence and Continuing Education, University of Delhi, Delhi",36,17,0,115,73, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Srinjoy Bose,Elected,18-Aug-11,In office,West Bengal,,All India Trinamool Congress,Male,Graduate,"B. Com. (Pass) Educated at Don Bosco, Kolkata and Calcutta University, Kolkata",36,0,0,0,39, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Su. Thirunavukkarasar,Elected,30-Jun-04,10-11-2009,Madhya Pradesh,,Indian National Congress,Male,Post Graduate,"B.L., M.A. Educated at Madras Law College, Chennai (Tamil Nadu) and Venkateshwara University (Andhra Pradesh)",63,0,0,0,50, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Subhash Prasad Yadav,Elected,08-Jul-04,07-07-2010,Bihar,,Rashtriya Janata Dal,Male,Graduate,"Graduate, Educated at Magadh University, Bodh Gaya (Bihar) ",45,0,0,24,51, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Sukhendu Sekhar Roy,Elected,18-Aug-11,In office,West Bengal,,All India Trinamool Congress,Male,Professional Post Graduate,"M.A., LL.B. Educated at Kalindri High School, Malda, St. Paul's College, Rabindra Bharati University and Calcutta University, Kolkata",63,21,0,9,78, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Surendra Motilal Patel,Elected,19-Aug-05,18-08-2011,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.E. (Civil) Educated at Sardar Patel University, Vallabh Vidyanagar (Gujarat)",74,2,0,0,69, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Suryakantbhai Acharya,Elected,19-Aug-05,21-12-2009,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.A., B.Com., LL.B. Educated at M.P.Shah College and Shamaldas College, Gujarat University, Bhavnagar and Dharmendra College, Gujarat University, Rajkot",82,0,0,0,57, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Sushila Tiriya,Elected,04-Apr-06,03-04-2012,Orissa,,Indian National Congress,Female,Graduate,"B.A., C.T., B.Ed. Educated at Karanjia College, Karanjia (Utkal University) ",56,29,0,159,84, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Swapan Sadhan Bose,Elected,19-Aug-05,18-08-2011,West Bengal,,All India Trinamool Congress,Male,Graduate,"B. Com., LL.B. Educated at St. Xavier's College, University of Calcutta ",64,1,0,0,19, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Syed Azeez Pasha,Elected,03-Apr-06,02-04-2012,Andhra Pradesh,,Communist Party of India,Male,Graduate,"B.A., LL.B. Educated at Osmania University, Hyderabad and Osmania University Law College, Hyderabad",67,70,0,490,90, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Syeda Anwara Taimur,Elected,03-Apr-04,02-04-2010,Assam,,Indian National Congress,Female,Post Graduate,"B.A. (Hons.), M.A. (Economics) Educated at Jorhat Girls' High School, J.B. College, Jorhat and Aligarh Muslim University",75,1,0,72,68, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
T. Ratna Bai,Elected,10-Apr-08,In office,Andhra Pradesh,,Indian National Congress,Female,Inter/ Higher Secondary,"High School Educated at Government High School, Rampachodavaram, Distt. East Godavari (Andhra Pradesh) ",65,11,0,593,98, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
T. Subbarami Reddy,Elected,10-Apr-08,In office,Andhra Pradesh,,Indian National Congress,Male,Doctorate,"B.Com. Educated at Nizam College, Hyderabad ",68,27,10,696,63, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
T.K. Rangarajan,Elected,03-Apr-08,In office,Tamil Nadu,,Communist Party of India (Marxist),Male,Inter/ Higher Secondary,"SSLC Educated at GMTTV High School, Chennai ",70,30,0,209,71, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
