name,nature,termStart,termEnd,state,constituency,party,gender,education,educationDetails,age,debates,bills,questions,attendance,notes
Ahmad Saeed Malihabadi,Elected,03-Apr-08,In office,West Bengal,,Independent,Male,Graduate,"After school completed education at Madrasah Islah and Darul Musanafeen (Shibli Academy), Azamagarh",81,14,0,21,93, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ahmed Patel,Elected,19-Aug-11,In office,Gujarat,,Indian National Congress,Male,Graduate,"B.Sc. Educated at Shree Jayendra Puri Arts and Science College, Bharuch (South Gujarat University) and M.S. University, Baroda ",62,0,0,0,72, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ajay Sancheti,Elected,03-Apr-12,In office,Maharashtra,,Bharatiya Janata Party,Male,Information not available,,Information not available,0,0,0,67, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ajay Singh Chautala,Elected,08-Feb-04,02-11-2009,Haryana,,Indian National Lok Dal,Male,Post Graduate,"B.A., M.A., LL.B. Educated at Government College, Hissar and Rajasthan University, Jaipur (Rajasthan)",51,0,0,9,53, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Akhilesh Das Gupta,Elected,26-Nov-08,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Doctorate,"M.B.A., LL.B., D.P.A. (Diploma in Public Administration), Ph.D. on 'Human Resources Management in Public Sector Undertakings' Educated at Colvin Taluqdars' College, Allahabad University, Lucknow University and Agra University ",51,7,12,12,54, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ali Anwar Ansari,Elected,03-Apr-12,In office,Bihar,,Janata Dal (United),Male,Graduate,"Graduate, Educated at D.K.College, Dumraon and M.V.College, Buxar (Bihar) ",58,38,0,51,74, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Alka Balram Kshatriya,Elected,10-Apr-08,In office,Gujarat,,Indian National Congress,Female,Post Graduate,"B.Com., LL.B., M.Com., LL.M. (Commercial Law), Diploma in Labour Laws and Practice (D.L.P.), Diploma in Taxation Practice (D.T.P.) Educated at Gujarat University, Ahmedabad and North Gujarat University, Mahesana ",52,11,0,159,96, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Amar Singh,Elected,26-Nov-08,In office,Uttar Pradesh,,Independent,Male,Graduate,"B.A., LL.B. Educated at St. Xavier's College and University College of Law, Kolkata ",56,14,0,113,29, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ambeth Rajan,Elected,26-Sep-07,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"B.Sc. II Educated at AVC College, Mayiladuthurai, Tamil Nadu ",56,27,0,191,97, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ambika Soni,Elected,05-Jul-10,In office,Punjab,,Indian National Congress,Female,Graduate,"B.A. (Hons.), Diplome Superiore en Langue Francaise, Post-Graduate Diploma in Spanish Art and Literature Educated at Indraprastha College, Delhi University, Alliance Francaise, Bangkok and University of Havana, Cuba ",69,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data corresponds to the period 04 Jun 2009 to 22 May 2012)"
Amir Alam Khan,Elected,13-Jun-06,04-07-2010,Uttar Pradesh,,Samajwadi Party,Male,Inter/ Higher Secondary,"Intermediate Educated at Islamia Inter College, Muzaffarnagar (Uttar Pradesh) ",53,3,0,186,44, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Anand Sharma,Elected,05-Jul-10,In office,Rajasthan,,Indian National Congress,Male,Graduate,"B.A., LL.B. Educated at R.P.C.S.D.B. College, Shimla and Faculty of Law, Himachal Pradesh University, Shimla ",59,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data corresponds to the period 04 Jun 2009 to 22 May 2012)"
Ananda Bhaskar Rapolu,Elected,03-Apr-12,In office,Andhra Pradesh,,Indian National Congress,Male,Information not available,,Information not available,7,0,0,81, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Anbumani Ramadoss,Elected,30-Jun-04,29-06-2010,Tamil Nadu,,Pattali Makkal Katchi,Male,Graduate,"M.B.B.S. Educated at Madras Medical College, Chennai (Tamil Nadu) ",43,2,0,0,15, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Anil H. Lad,Elected,26-Jun-08,In office,Karnataka,,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Sandur Residential School, Sandur, Distt. Bellary, Karnataka ",38,4,0,21,63, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Anil Kumar Sahani,Elected,03-Apr-12,In office,Bihar,,Janata Dal (United),Male,Post Graduate,"LL.B., M.A.; Educated at Baba Saheb Bhimrao Ambedkar Bihar University, Muzaffarpur (Bihar)",48,15,0,273,78, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Anil Madhav Dave,Elected,04-Aug-09,In office,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.Com. Educated at Gujarati College, Indore, Madhya Pradesh ",55,35,0,286,83, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Anil Yeshwant Desai,Elected,03-Apr-12,In office,Maharashtra,,Shiv Sena,Male,Information not available,,Information not available,6,0,27,100, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Anu Aga,Nominated,27-Apr-12,In office,,,Independent,Female,Post Graduate,"B.A.(Eco) from St Xavier's College, Mumbai, and post graduation in medical and psychiatric social work from the TISS, Mumbai. Also had been a Fulbright Scholar and studied in the United States for four months.",69,0,0,0,50, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Anusuiya Uikey,Elected,03-Apr-06,02-04-2012,Madhya Pradesh,,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Economics), LL.B. (II year)",55,48,0,249,90, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Arjun Kumar Sengupta,Elected,19-Aug-05,26-09-2010,West Bengal,,Independent,Male,Doctorate,"B.A., M.A., Ph.D. (Economics) Educated at Mitra Institution, Bhavanipur, Kolkata, Presidency College, University of Calcutta, Kolkata and Massachusetts Institute of Technology (MIT), USA ",74,7,0,0,61, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Arjun Singh,Elected,03-Apr-06,04-03-2011,Madhya Pradesh,,Indian National Congress,Male,Graduate,"B.A., LL.B. Educated at Allahabad University and Agra University ",81,1,0,0,22, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Arun Jaitley,Elected,03-Apr-12,In office,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.Com. (Hons.), LL.B. Educated at Sri Ram College of Commerce, University of Delhi and Faculty of Law, University of Delhi ",59,76,0,0,N/A,"As Leader of Opposition, this MP does not sign the attendance register. (All data corresponds to the period 04 Jun 2009 to 22 May 2012)"
Arun Shourie,Elected,05-Jul-04,04-07-2010,Uttar Pradesh,,Bharatiya Janata Party,Male,Doctorate,"Ph.D. (Economics), Educated at Modern School, New Delhi, St.Stephen's College, Delhi and University of Syracuse, U.S.A",70,3,0,0,61, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Arvind Kumar,Elected,20-Apr-12,In office,Uttar Pradesh,,Samajwadi Party,Male,Information not available,,42,1,0,0,100, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ashk Ali Tak,Elected,05-Jul-10,In office,Rajasthan,,Indian National Congress,Male,Post Graduate,"M.A., Diploma in Indian Thought ; Educated at University of Rajasthan, Jaipur",53,5,0,156,89, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ashok S. Ganguly,Nominated,18-Nov-09,In office,,,Independent,Male,Doctorate,"B.Sc., M.S., Ph.D. ; Educated at Master Tutorial High School, Mumbai, Jaihind College, Mumbai and University of Illinois, U.S.A.",76,32,0,4,65, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ashwani Kumar,Elected,10-Apr-10,In office,Punjab,,Indian National Congress,Male,Post Graduate,"B.A.(Hons.), LL.B., M.Phil. Educated at St. Stephen's College, Delhi; Faculty of Law, University of Delhi and Jawaharlal Nehru University, New Delhi ",59,8,0,0,93,"This MP was appointed a minister in January, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th December, 2010. (All data corresponds to the period 04 Jun 2009 to 22 May 2012)"
Avinash Pande,Elected,05-Jul-10,In office,Maharashtra,,Indian National Congress,Male,Professional Post Graduate,"B.Com, M.A. (Economics), M.A. (Public Administration) D.B.M., LL.B. ; Educated at Nagpur University, Nagpur",53,2,0,60,78, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Avinash Rai Khanna,Elected,10-Apr-10,In office,Punjab,,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B., Diploma in Business Management ; Educated at D.A.V. College, Jalandhar and Panjab University, Chandigarh",51,65,0,204,94, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Avtar Singh Karimpuri,Elected,26-Nov-08,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"Intermediate, B.A. (Public Administration) (Part-II) Educated at Govt. High School, Kotranjha, (Punjab) and Annamalai University ",48,70,4,97,83, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
B. Jayashree,Nominated,22-Mar-10,In office,,,Independent,Female,Graduate,"Graduate ; Educated at National School of Drama, New Delhi",61,4,0,0,66, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
B. S. Gnanadesikan,Elected,25-Jul-07,In office,Tamil Nadu,,Indian National Congress,Male,Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Dr. Ambedkar Law College, Chennai",63,20,0,171,54, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
B.B. Tiwari,Elected,03-Apr-12,25-04-2012,Uttar Pradesh,,Samajwadi Party,Male,Information not available,,Information not available,0,0,0,N/A, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
B.K. Hariprasad,Elected,01-Jul-04,30-06-2010,Karnataka,,Indian National Congress,Male,Graduate,"B. Com. Educated at M.E.S.College, Bangalore University, Bangalore ",57,4,0,143,91, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Baishnab Parida,Elected,02-Jul-10,In office,Orissa,,Biju Janata Dal,Male,Post Graduate,"M.A., M.Phil ; Educated at University of Calcutta and Institute of Oriental Studies, Moscow",71,27,0,139,96, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Balavant alias Bal Apte,Elected,03-Apr-06,02-04-2012,Maharashtra,,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.M. Educated at University of Mumbai, Mumbai ",73,11,0,302,73, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Balbir Punj,Elected,03-Apr-08,In office,Orissa,,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.) Economics Educated at Rajdhani College, Delhi University, Delhi ",62,29,0,55,83, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Balihari Babu,Elected,03-Apr-06,12-06-2009,Uttar Pradesh,,Samajwadi Party,Male,Inter/ Higher Secondary,"Intermediate Educated at Public Inter College, Shahganj, Jaunpur (Uttar Pradesh)",61,0,0,0,100, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Balwinder Singh Bhunder,Elected,05-Jul-10,In office,Punjab,,Shiromani Akali Dal,Male,Graduate,"B.A. Educated at Government Rajindra College, Bhatinda",67,14,0,229,66, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Barun Mukherji,Elected,18-Nov-08,In office,West Bengal,,All India Forward Bloc,Male,Doctorate,"B.Sc., B.A., M.A., B. Lib. Sc., Ph.D. and P.G.D.B.M. Educated at Bansberia H. E. School, Bansberia, Distt. Hooghly (West Bengal), Hooghly Mohsin College, Chinsurah, Calcutta University and Institute of Modern Management, Calcutta ",79,35,0,11,88, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Basawaraj Patil,Elected,03-Apr-12,In office,Karnataka,,Bharatiya Janata Party,Male,Information not available,,Information not available,5,0,3,95, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bashistha Narain Singh,Elected,03-Apr-12,In office,Bihar,,Janata Dal (United),Male,Information not available,,64,1,0,0,86, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bhagat Singh Koshyari,Elected,26-Nov-08,In office,Uttarakhand,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (English) Educated at Almora College, Almora (Agra University) ",69,12,1,375,88, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bhagirathi Majhi,Elected,24-Mar-06,01-07-2010,Orissa,,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Sulaipat High School, Sulaipat and Keonjhar College, Utkal University (Orissa) ",58,2,0,55,94, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bhagwati Singh,Elected,05-Jul-04,04-07-2010,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B.A. Educated at Arjunpur, Sidholi, Sitapur and Lucknow University (Uttar Pradesh) ",78,3,0,43,92, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bhalchandra Mungekar,Nominated,22-Mar-10,In office,,,Independent,Male,Doctorate,"B.A.(Hons.) in Economics, M.A.(Economics) Ph.D. ; Educated at University of Mumbai",66,22,0,84,87, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bharatkumar Raut,Elected,03-Apr-08,In office,Maharashtra,,Shiv Sena,Male,Post Graduate,"M.A. (Politics) Educated at University of Bombay, Mumbai ",59,89,0,150,85, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bharatsinh Prabhatsinh Parmar,Elected,10-Apr-08,In office,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B. Com., LL.B. Educated at South Gujarat University, Bharuch (Gujarat)",54,10,0,306,70, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bhubaneswar Kalita,Elected,10-Apr-08,In office,Assam,,Indian National Congress,Male,Post Graduate,"M.A., LL.B. Educated at Rangia HS School, Rangia, Cotton College, Guwahati University and University Law College, Guwahati ",61,8,0,38,81, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bhupender Yadav,Elected,04-Apr-12,In office,Rajasthan,,Bharatiya Janata Party,Male,Professional Graduate,LLB,Information not available,6,0,15,100, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bhushanlal Jangde,Elected,03-Apr-12,In office,Chhattisgarh,,Bharatiya Janata Party,Male,Information not available,,Information not available,0,0,0,90, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bimal Jalan,Nominated,27-Aug-03,26-08-2009,,,Independent,Male,Doctorate,"B.A.(Hons.), B.A.(Tripos), M.A., M. Phil.,Ph. D. Educated at Presidency College, Kolkata, University of Cambridge, U.K., University of Oxford, U.K. and University of Bombay, Mumbai",70,3,0,0,87, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Bimla Kashyap Sood,Elected,03-Apr-10,In office,Himachal Pradesh,,Bharatiya Janata Party,Female,Graduate,"B.A. ; Educated at Punjab University, Shimla",70,20,0,127,89, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Birender Singh,Elected,02-Aug-10,In office,Haryana,,Indian National Congress,Male,Professional Graduate,"B.A., LL.B. ; Educated at Government College, Rohtak, Haryana and Department of Law, Chandigarh",66,2,0,13,89, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Birendra Prasad Baishya,Elected,10-Apr-08,In office,Assam,,Asom Gana Parishad,Male,Post Graduate,"B.A. (Hons.), M.A. (Economics) Educated at Gauhati University, Guwahati ",56,50,0,351,90, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Biswajit Daimary,Elected,10-Apr-08,In office,Assam,,Bodoland People's Front,Male,Inter/ Higher Secondary,"Higher Secondary Educated at Kokrajhar College, Kokrajhar ",41,20,0,9,64, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Brij Bhushan Tiwari,Elected,06-Dec-06,04-07-2010,Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"B.A., M.A. (Pol. Sc.), LL.B. Educated at Shivpati Inter College, Shohratgarh, St. Andrew's College, Gorakhpur and Allahabad University, Allahabad ",70,31,0,84,89, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Brijesh Pathak,Elected,26-Nov-08,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Post Graduate,"B.Com., LL.B., M.A. (I) Composite History Educated at Lucknow University ",47,17,0,0,87, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Brijlal Khabri,Elected,26-Nov-08,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Post Graduate,"M.A., LL.B. Educated at Dayanand Vedic Mahavidyalaya, Orai, Distt. Jalaun and Bundelkhand University, Jhansi, Uttar Pradesh ",51,12,0,130,63, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Brinda Karat,Elected,19-Aug-05,18-08-2011,West Bengal,,Communist Party of India (Marxist),Female,Graduate,"Senior Cambridge, B.A. Educated at Welham Girls High School, Dehradun, Loreto House, Kolkata and Miranda House, Delhi University, Delhi ",64,69,3,173,86, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
C Rangarajan,Nominated,09-Aug-08,10-08-2009,,,Independent,Male,Doctorate,"B.Com. (Hons.), Ph.D. Educated at Madras University, Chennai and University of Pennsylvania, Philadelphia",80,1,0,0,93, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
C.M. Ramesh,Elected,03-Apr-12,In office,Andhra Pradesh,,Telugu Desam Party,Male,Information not available,,Information not available,0,0,0,43, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
C.P. Thakur,Elected,10-Apr-08,In office,Bihar,,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.D., M.R.C.P., F.R.C.P. Educated at Patna Medical College, Patna University, Bihar, Royal College of Physicians, London and Royal College of Physicians, Edinburgh and Royal College of Tropical Medicine and Hygiene, London ",80,18,0,9,71, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Chandan Mitra,Elected,30-Jun-10,In office,Madhya Pradesh,,Bharatiya Janata Party,Male,Doctorate,"B.A. (Hons.) in Economics, M.A.(History), D.Phil. Educated at La Martiniere for Boys, Kolkata, St. Stephen's College, Delhi, Delhi University and Oxford University, U.K.",57,26,0,13,86,"This MP has been re-elected/nominated. During his previous term, this MP was a nominated representative; the term ended on 26th August, 2009. (All data corresponds to the period 04 Jun 2009 to 22 May 2012)"
Chiranjeevi Konidala,Elected,03-Apr-12,In office,Andhra Pradesh,,Indian National Congress,Male,Information not available,,Information not available,0,0,0,71, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
D. Raja,Elected,25-Jul-07,In office,Tamil Nadu,,Communist Party of India,Male,Graduate,"B.Sc., B.Ed. Educated at University of Madras, Chennai and Department of Education, Madras ",62,126,1,598,95, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
D.P. Tripathi,Elected,03-Apr-12,In office,Maharashtra,,Nationalist Congress Party,Male,Information not available,,Information not available,1,0,0,100, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Dara Singh,Nominated,27-Aug-03,26-08-2009,,,Bharatiya Janata Party,Male,Others,Self-educated,83,0,0,19,57, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Darshan Singh Yadav,Elected,03-Apr-12,In office,Uttar Pradesh,,Samajwadi Party,Male,Information not available,,Information not available,0,0,0,86, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Dasari Narayana Rao,Elected,03-Apr-06,02-04-2012,Andhra Pradesh,,Indian National Congress,Male,Graduate,"Honorary Doctorate from Andhra University, Visakhapatnam, 1986 ",65,0,0,0,13, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Debabrata Bandyopadhyay,Elected,18-Aug-11,In office,West Bengal,,All India Trinamool Congress,Male,Post Graduate,"B.A. (Hons.) Economics, M.A. (Economics) ; Educated at Presidency College, Kolkata and University of Calcutta, Kolkata",80,34,0,24,96, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Derek O Brien,Elected,18-Aug-11,In office,West Bengal,,All India Trinamool Congress,Male,Graduate,"B.A. ; Educated at Scottish Church College, Kolkata",51,5,0,0,76, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Devender T. Goud,Elected,03-Apr-12,In office,Andhra Pradesh,,Telugu Desam Party,Male,Information not available,,Information not available,11,0,2,86, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Dharam Pal Sabharwal,Elected,10-Apr-04,09-04-2010,Punjab,,Indian National Congress,Male,Graduate,"High School, Honours in Hindi (Prabhakar)",71,4,0,90,99, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Dharmendra Pradhan,Elected,03-Apr-12,In office,Bihar,,Bharatiya Janata Party,Male,Information not available,,Information not available,2,0,18,86, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Dhiraj Prasad Sahu,Elected,24-Jun-09,In office,Jharkhand,,Indian National Congress,Male,Graduate,"B.A. Educated at Marwari College, Ranchi ",52,2,0,262,76, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Dilip Kumar Tirkey,Elected,04-Apr-12,In office,Orissa,,Biju Janata Dal,Male,Information not available,,Information not available,1,0,7,100, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Dilipbhai Shivshankarbhai Pandya,Elected,18-Aug-11,In office,Gujarat,,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at University of Bombay, Mumbai",68,6,0,130,86, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
E.M. Sudarsana Natchiappan,Elected,30-Jun-10,In office,Tamil Nadu,,Indian National Congress,Male,Doctorate,"M.A., B.L. Educated at Thiayagarajar College, Madurai, Madras Law College, Chennai and Madurai Kamaraj University, Madurai",64,57,3,179,99, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ejaz Ali,Elected,20-Mar-08,07-07-2010,Bihar,,Janata Dal (United),Male,Post Graduate,"M.B.B.S., M.S. (General Surgery) Educated at Hazaribagh High School and Patna Medical College and Hospital (Patna University), Patna, Bihar ",54,5,0,8,66, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
G. N. Ratanpuri,Elected,04-Aug-09,In office,Jammu and Kashmir,,Jammu and Kashmir National Conference,Male,Graduate,"B.Sc. ; Educated at Kashmir University, Srinagar",58,7,0,78,92, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
G. Sanjeeva Reddy,Elected,03-Apr-06,02-04-2012,Andhra Pradesh,,Indian National Congress,Male,Graduate,"Honorary Doctorate from Mahatma Gandhi Kashi Vidyapeeth, Varanasi, 2004",82,2,0,0,74, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
G.K. Vasan,Elected,03-Apr-08,In office,Tamil Nadu,,Indian National Congress,Male,Graduate,"B.A. (Corporate Secretaryship) Educated at The New College, Madras University, Chennai ",47,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data corresponds to the period 04 Jun 2009 to 22 May 2012)"
Ganga Charan,Elected,19-Jun-09,02-04-2012,Uttar Pradesh,,Bahujan Samaj Party,Male,Professional Graduate,"BA, LLB",52,33,0,70,71, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
George Fernandes,Elected,04-Aug-09,07-07-2010,Bihar,,Janata Dal (United),Male,Inter/ Higher Secondary,"S.S.L.C. Educated at St. Aloysius College (High School), Mangalore",81,0,0,0,16, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ghulam Nabi Azad,Elected,11-Feb-09,In office,Jammu and Kashmir,,Indian National Congress,Male,Post Graduate,"M.Sc. (Zoology) Educated at Government Degree College Bhadarwah, G.G.M. Science College, Jammu, S.P. College, Srinagar and Kashmir University, Srinagar",63,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data corresponds to the period 04 Jun 2009 to 22 May 2012)"
Gireesh Kumar Sanghi,Elected,22-Jun-04,21-06-2010,Andhra Pradesh,,Indian National Congress,Male,Post Graduate,"B.A., M.A (Political Science) Educated at Osmania University, Hyderabad ",57,15,3,200,68, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Govindrao Wamanrao Adik,Elected,04-Aug-09,02-04-2012,Maharashtra,,Nationalist Congress Party,Male,Professional Graduate,"BA (Hons), LLB; Educated at Undirgaon, Janata Vidyalaya, Shrirampur and Dnyanmata Vidyalaya, Sangamner, Distt. Ahmednagar, M.E.S. College (now Garware College) and Law College, Pune",72,10,0,308,87, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Gundu Sudha Rani,Elected,22-Jun-10,In office,Andhra Pradesh,,Telugu Desam Party,Female,Post Graduate,"M.A. (Public Administration) ; Educated at Madurai Kamaraj University, Madurai",47,15,0,265,62, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Gyan Prakash Pilania,Elected,10-Apr-08,In office,Rajasthan,,Bharatiya Janata Party,Male,Doctorate,"LL.B., M.A. (History), M.A. (Hindi), Ph.D. (History), one year academic higher course in Public Administration, Manchester University, Manchester (U.K.), Sahitya Ratan, Prayag (Allahabad) Educated at Law Faculty, Delhi University, Nagpur University, Bhaga",80,56,0,574,90, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
H.K. Dua,Nominated,18-Nov-09,In office,,,Independent,Male,Post Diploma Course,"B.A., Post Graduate Diploma in Journalism ; Educated at Panjab University Hony. D. Litt. from Kurukshetra University, (Kurukshetra) and Panjab University",74,18,0,32,92, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Hans Raj Bhardwaj,Elected,03-Apr-06,29-07-2009,Haryana,,Indian National Congress,Male,Post Graduate,"M.A., LL.B., Doctor of Laws (Honoris Causa) Educated at G.B.C.High School, Rohtak, B.M.College, Shimla, Agra University and Panjab University, Chandigarh",75,0,0,0,100, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Hemant Soren,Elected,24-Jun-09,04-01-2010,Jharkhand,,Jharkhand Mukti Morcha,Male,Information not available,,Information not available,1,0,0,22, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Hishey Lachungpa,Elected,12-Mar-12,In office,Sikkim,,Sikkim Democratic Front,Male,Graduate,Bachelor in Arts,45,0,0,0,54, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Husain Dalwai,Elected,26-Jul-11,In office,Maharashtra,,Indian National Congress,Male,Others,Information yet to receive,52,15,0,98,95, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ishwar Singh,Elected,10-Apr-08,In office,Haryana,,Indian National Congress,Male,Post Graduate,"M.A., LL.B. Educated at Kurukshetra University, Kurukshetra ",62,17,0,195,96, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Ishwarlal Shankarlal Jain,Elected,05-Jul-10,In office,Maharashtra,,Nationalist Congress Party,Male,Inter/ Higher Secondary,"Intermediate (Science) ; Educated at New English School, Jamner and M.J. College, Jalgaon",66,2,0,293,78, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Jabir Husain,Elected,03-Apr-06,02-04-2012,Bihar,,Rashtriya Janata Dal,Male,Post Graduate,"B.A. Hons. (Eng.), M.A. (Eng.) Educated under Bihar Secondary Education Board, Patna and Bihar University, Muzaffarpur ",66,1,0,17,97, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Jagat Prakash Nadda,Elected,03-Apr-12,In office,Himachal Pradesh,,Bharatiya Janata Party,Male,Information not available,,Information not available,1,0,0,86, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
